location,iso3,i.iso3,year,scenario,htn_target_scenario,who_region,deaths_baseline,deaths_intervention,deaths_averted,avg_age_of_death_averted,population,adult_population,avg_adult_age,age_ref_5y,le_avg_adult,le_avg_adult_disc,life_years_gained_undisc,life_years_gained_disc,gni_pc_ppp,gni_pc_usa,vsl_e1_0,vsl_e1_2,vsl_e1_5,vsly_e1_0,vsly_e1_2,vsly_e1_5,economic_value_e1_0,economic_value_e1_2,economic_value_e1_5,vsly_value_e1_0,vsly_value_e1_2,vsly_value_e1_5,disc_r1,disc_r3,disc_r5,gni_pc_disc_r3,economic_value_e1_2_disc_r3,vsly_value_e1_2_disc_r3,economic_value_e1_5_disc_r3,vsly_value_e1_5_disc_r3
Afghanistan,AFG,AFG,2017,all_interventions,aim1,Eastern Mediterranean,59590.0833967443,59590.0833967443,0,,35688934.5,16068773.5,36.788525521254,35,37.5738,22.3550248084573,0,0,,66477.1409142239,,,,,,,,,,,,,1.09368527268436,1.30477318382925,1.55132821597852,,,,,
Afghanistan,AFG,AFG,2017,bp_combined,aim1,Eastern Mediterranean,59590.0833967443,59590.0833967443,0,,35688934.5,16068773.5,36.788525521254,35,37.5738,22.3550248084573,0,0,,66477.1409142239,,,,,,,,,,,,,1.09368527268436,1.30477318382925,1.55132821597852,,,,,
Afghanistan,AFG,AFG,2017,bp_diabetes_only,aim1,Eastern Mediterranean,59590.0833967443,59590.0833967443,0,,35688934.5,16068773.5,36.788525521254,35,37.5738,22.3550248084573,0,0,,66477.1409142239,,,,,,,,,,,,,1.09368527268436,1.30477318382925,1.55132821597852,,,,,
Afghanistan,AFG,AFG,2017,bp_no_diabetes_only,aim1,Eastern Mediterranean,59590.0833967443,59590.0833967443,0,,35688934.5,16068773.5,36.788525521254,35,37.5738,22.3550248084573,0,0,,66477.1409142239,,,,,,,,,,,,,1.09368527268436,1.30477318382925,1.55132821597852,,,,,
Afghanistan,AFG,AFG,2017,statins_only,aim1,Eastern Mediterranean,59590.0833967443,59590.0833967443,0,,35688934.5,16068773.5,36.788525521254,35,37.5738,22.3550248084573,0,0,,66477.1409142239,,,,,,,,,,,,,1.09368527268436,1.30477318382925,1.55132821597852,,,,,
Afghanistan,AFG,AFG,2018,all_interventions,aim1,Eastern Mediterranean,55832.0376583526,55832.0376583526,0,,36743039,16805707.2412134,36.8752694166844,35,37.5738,22.3550248084573,0,0,,68062.0192248884,,,,,,,,,,,,,1.08285670562808,1.26677008138762,1.47745544378906,,,,,
Afghanistan,AFG,AFG,2018,bp_combined,aim1,Eastern Mediterranean,55832.0376583526,55832.0376583526,0,,36743039,16805707.2412134,36.8752694166844,35,37.5738,22.3550248084573,0,0,,68062.0192248884,,,,,,,,,,,,,1.08285670562808,1.26677008138762,1.47745544378906,,,,,
Afghanistan,AFG,AFG,2018,bp_diabetes_only,aim1,Eastern Mediterranean,55832.0376583526,55832.0376583526,0,,36743039,16805707.2412134,36.8752694166844,35,37.5738,22.3550248084573,0,0,,68062.0192248884,,,,,,,,,,,,,1.08285670562808,1.26677008138762,1.47745544378906,,,,,
Afghanistan,AFG,AFG,2018,bp_no_diabetes_only,aim1,Eastern Mediterranean,55832.0376583526,55832.0376583526,0,,36743039,16805707.2412134,36.8752694166844,35,37.5738,22.3550248084573,0,0,,68062.0192248884,,,,,,,,,,,,,1.08285670562808,1.26677008138762,1.47745544378906,,,,,
Afghanistan,AFG,AFG,2018,statins_only,aim1,Eastern Mediterranean,55832.0376583526,55832.0376583526,0,,36743039,16805707.2412134,36.8752694166844,35,37.5738,22.3550248084573,0,0,,68062.0192248884,,,,,,,,,,,,,1.08285670562808,1.26677008138762,1.47745544378906,,,,,
