"scenario_id","location","sex","age_group","cause","RMSE_deaths","RMSE_prev","error","IRadjust","CFadjust"
1,"Hungary","Female","25-29","hhd",0.0973405620209933,0.808308323056065,1.00298944709805,0.8,0.5
1,"Netherlands","Female","25-29","hhd",0.0109842900288731,0.219862268512375,0.241830848570121,0.8,0.5
1,"Palestine","Male","25-29","hhd",0.183784579905855,1.61013206162289,1.9777012214346,0.8,0.5
1,"Mauritania","Male","25-29","hstroke",0.240161110490841,11.1781538132371,11.6584760342188,0.8,0.5
1,"Poland","Male","30-34","hhd",0.369224062832725,36.827417974158,37.5658660998234,0.8,0.5
1,"Greenland","Female","35-39","hhd",0.00223378950723358,0.051241461786813,0.0557090408012801,0.8,0.5
1,"Comoros","Female","35-39","ihd",0.0852183269112391,11.3213079874584,11.4917446412809,0.8,0.5
1,"Turkey","Male","35-39","hhd",1.29941743689522,122.160702379922,124.759537253713,0.8,0.5
1,"Eswatini","Male","35-39","istroke",0.339483547458183,6.83873287924863,7.517699974165,0.8,0.5
1,"United Arab Emirates","Female","40-44","istroke",0.358712758252534,266.194785593036,266.912211109541,0.8,0.5
1,"Qatar","Male","45-49","hhd",0.26375775423361,3.49818520845056,4.02570071691778,0.8,0.5
1,"Mozambique","Male","45-49","istroke",7.99592746324065,270.748115144102,286.739970070584,0.8,0.5
1,"Switzerland","Female","50-54","hhd",0.710956169276861,3.82955071770956,5.25146305626329,0.8,0.5
1,"United Arab Emirates","Female","50-54","hhd",0.582429590221184,54.5165137957373,55.6813729761796,0.8,0.5
1,"Qatar","Female","55-59","ihd",2.73335647866649,45.8966466919097,51.3633596492427,0.8,0.5
1,"Cook Islands","Female","55-59","istroke",0.00291677312294582,0.731843953349264,0.737677499595155,0.8,0.5
1,"Qatar","Male","55-59","hhd",0.378122599537861,6.95115361235178,7.7073988114275,0.8,0.5
1,"Bahrain","Male","55-59","istroke",0.704163852582986,18.9976222246342,20.4059499298002,0.8,0.5
1,"Kiribati","Male","55-59","istroke",0.0406677510391745,0.366975709647875,0.448311211726224,0.8,0.5
1,"Suriname","Male","55-59","istroke",0.370527851233703,5.60652574063333,6.34758144310073,0.8,0.5
1,"Qatar","Female","60-64","hhd",0.277363608589615,3.12426660895269,3.67899382613192,0.8,0.5
1,"Iran (Islamic Republic of)","Female","60-64","istroke",58.9016748010432,2379.21648226342,2497.01983186551,0.8,0.5
1,"Bahrain","Male","60-64","hhd",0.422859215666912,4.90404261186054,5.74976104319437,0.8,0.5
1,"Palestine","Male","60-64","hstroke",4.19580802111078,20.0948072721223,28.4864233143439,0.8,0.5
1,"Republic of Korea","Male","60-64","hstroke",66.8771041480888,539.028248842211,672.782457138389,0.8,0.5
1,"United Arab Emirates","Male","60-64","hstroke",12.4959719270737,203.841726164729,228.833670018877,0.8,0.5
1,"Kazakhstan","Male","60-64","istroke",107.81076979249,951.69356609899,1167.31510568397,0.8,0.5
1,"Armenia","Female","65-69","hstroke",5.60628575301467,20.6630658574814,31.8756373635108,0.8,0.5
1,"United States Virgin Islands","Female","65-69","ihd",0.786918423085259,18.2775770973614,19.8514139435319,0.8,0.5
1,"American Samoa","Female","65-69","istroke",0.0520170685021724,0.694332677735218,0.798366814739562,0.8,0.5
1,"Botswana","Female","65-69","istroke",1.47838661627031,39.4316582218463,42.388431454387,0.8,0.5
1,"France","Female","65-69","istroke",22.1599091792094,1186.52181758462,1230.84163594304,0.8,0.5
1,"Nepal","Female","65-69","istroke",61.5231807129281,621.960116429725,745.006477855582,0.8,0.5
1,"Syrian Arab Republic","Female","65-69","istroke",17.6424948646279,546.595921559552,581.880911288807,0.8,0.5
1,"Thailand","Female","65-69","istroke",64.5252076832581,2363.93430782221,2492.98472318873,0.8,0.5
1,"Turkey","Female","65-69","istroke",213.348603896829,1313.88295550582,1740.58016329948,0.8,0.5
1,"Kazakhstan","Male","65-69","hhd",62.2830975387048,131.696007490731,256.26220256814,0.8,0.5
1,"United Arab Emirates","Male","65-69","hhd",2.41705445783864,191.784926983792,196.619035899469,0.8,0.5
1,"United Arab Emirates","Male","65-69","hstroke",7.28505203840333,96.4859498299775,111.056053906784,0.8,0.5
1,"United Arab Emirates","Male","65-69","ihd",39.9197325541865,3086.81192291057,3166.65138801895,0.8,0.5
1,"Ecuador","Male","65-69","istroke",6.5605999623257,196.893619840175,210.014819764827,0.8,0.5
1,"Saudi Arabia","Male","65-69","istroke",37.2686006777625,332.132183858372,406.669385213897,0.8,0.5
1,"Bahrain","Female","70-74","hhd",1.06622300600125,10.9352590883055,13.067705100308,0.8,0.5
1,"Brunei Darussalam","Female","70-74","hhd",0.192564519969132,0.869972978185358,1.25510201812362,0.8,0.5
1,"Israel","Female","70-74","hhd",0.797391486415725,40.9933808156256,42.5881637884571,0.8,0.5
1,"Qatar","Female","70-74","hstroke",0.707991275100357,2.87812622661906,4.29410877681977,0.8,0.5
1,"American Samoa","Female","70-74","istroke",0.0576868816701074,1.59654854461799,1.71192230795821,0.8,0.5
1,"Canada","Female","70-74","istroke",8.86143974323937,1754.56770254627,1772.29058203275,0.8,0.5
1,"Netherlands","Male","70-74","hhd",2.85069769792149,101.492383852425,107.193779248268,0.8,0.5
1,"Bahrain","Male","70-74","hstroke",1.80843550202383,7.93779572725145,11.5546667312991,0.8,0.5
1,"Croatia","Male","70-74","ihd",95.3072110402522,925.750887857155,1116.36530993766,0.8,0.5
1,"Australia","Male","70-74","istroke",10.350391061941,1628.94592017342,1649.6467022973,0.8,0.5
